City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised
Andover,1/14/2011,3.59E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,Yamagata,Boston Metro,1,1,5.86
Frisco,1/14/2011,72331753524,Wired Communications Equipment,Information Technology,Communications and Networking,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,ACQ Financing,Yamagata,Dallas-Fort Worth,1,1,10.79
Boulder,1/14/2011,6.15E+11,Fiberoptic Equipment,Information Technology,Communications and Networking,"Boulder, CO",Mountain,Product Development,First Round,Yamagata,,1,1,
Bridgewater,1/14/2011,86554753206,Fiberoptic Equipment,Information Technology,Communications and Networking,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,Yamagata,New York Metro,1,1,5.5
Burlington,1/14/2011,83052753250,Business Applications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Ishikawa,Boston Metro,1,1,5
San Francisco,1/14/2011,1.10E+11,Multimedia/Streaming Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Ishikawa,San Francisco Bay Area,1,1,5.02
Emeryville,1/15/2011,6.12E+11,Specialty Foods,Consumer Goods,Food and Beverage,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Ishikawa,San Francisco Bay Area,1,1,16.03
Los Angeles,1/15/2011,6.13E+11,General Media/Content,Consumer Services,Media and Content,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Startup,First Round,Ishikawa,Los Angeles Metro,1,1,5
Ventura,1/17/2011,6.10E+11,Customer Relationship Management,Business and Financial Services,Business Support Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,First Round,Ishikawa,Los Angeles Metro,1,1,1.25
Cambridge,1/18/2011,6.11E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,Ishikawa,Boston Metro,1,1,1.06
