City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised
New York,2/27/2011,6.12E+11,Medical Software and Information Services: Other,Healthcare,Medical Software and Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,First Round,Iwate,New York Metro,1,1,0.85
San Francisco,2/28/2011,6.12E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,5.55
San Francisco,2/28/2011,6.13E+11,Security Services,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,First Round,Iwate,San Francisco Bay Area,1,1,1.46
La Jolla,2/28/2011,6.13E+11,General Business Consulting,Business and Financial Services,Business Support Services,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,First Round,Iwate,San Diego Metro,1,1,5
San Mateo,2/28/2011,64933753981,Procurement/Supply Chain,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,12
San Francisco,2/28/2011,1.04E+11,Insurance,Business and Financial Services,Financial Institutions and Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,42
Mountain View,2/28/2011,3.56E+11,Data Management Services,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,10
Cambridge,2/28/2011,6.14E+11,Online Communities,Consumer Services,Consumer Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,Iwate,Boston Metro,1,1,1
Billerica,2/28/2011,2.28E+11,Broadcasting,Consumer Services,Media and Content,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,Iwate,Boston Metro,1,1,0.81
Sherman Oaks,2/28/2011,1.83E+11,Movie/Music Producers and Distributors,Consumer Services,Media and Content,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Second Round,Iwate,Los Angeles Metro,1,1,0.75
Los Angeles,2/28/2011,4.70E+11,Household Goods/Services Retailers,Consumer Services,Retailers,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Second Round,Iwate,Los Angeles Metro,1,1,23
Los Angeles,2/28/2011,6.12E+11,Entertainment,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Startup,Seed Round,Iwate,Los Angeles Metro,1,1,
Fremont,2/28/2011,6.11E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Pre-Clinical Trials,First Round,Iwate,San Francisco Bay Area,1,1,1.6
Research Triangle Park,2/28/2011,59403754701,Diagnostic Imaging Equipment,Healthcare,Medical Devices and Equipment,"Durham-Chapel Hill, NC",South East,Generating Revenue,First Round,Iwate,,1,1,1.5
Bellevue,2/28/2011,1.14E+11,Diagnostic Equipment (Not Imaging),Healthcare,Medical Devices and Equipment,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Individual,Iwate,Seattle Metro,1,1,3.66
Bedminster,2/28/2011,3.60E+11,Pharmaceuticals,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Clinical Trials - Phase 3,Second Round,Iwate,New York Metro,1,1,33.91
Ithaca,2/28/2011,67715753692,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"Ithaca, NY",Mid-Atlantic,Generating Revenue,Individual,Iwate,,1,1,1.4
Dallas,2/28/2011,2.29E+11,Internet Service Providers,Information Technology,Communications and Networking,"Dallas-Fort Worth-Arlington, TX",South Central,Product Development,First Round,Iwate,Dallas-Fort Worth,1,1,8.9
Chicago,2/28/2011,64135757686,Business Applications Software,Information Technology,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Later Stage,Iwate,Chicago Metro,1,1,1.35
Salt Lake City,2/28/2011,64551753655,Consumer Electronics,Information Technology,Electronics and Computer Hardware,"Salt Lake City, UT",Mountain,Generating Revenue,Later Stage,Iwate,,1,1,20
Novato,2/28/2011,63149754896,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,10
Redwood City,2/28/2011,63343754501,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,Later Stage,Iwate,San Francisco Bay Area,1,1,12
Atlanta,2/28/2011,64378754539,Vertical Market Applications Software,Information Technology,Software,"Atlanta-Sandy Springs-Marietta, GA",South East,Profitable,Later Stage,Iwate,,1,1,6
San Francisco,2/28/2011,6.07E+11,Database Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Second Round,Iwate,San Francisco Bay Area,1,1,7
New York,3/01/2011,6.12E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,Iwate,New York Metro,1,1,
Boise,3/01/2011,6.12E+11,Data Management Services,Business and Financial Services,Business Support Services,"Boise City-Nampa, ID",Mountain,Generating Revenue,Later Stage,Iwate,,1,1,
New York,3/01/2011,6.09E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Second Round,Iwate,New York Metro,1,1,5
Redwood City,3/01/2011,1.13E+11,Business to Business Marketplaces,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,12
Mountain View,3/01/2011,87934757897,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,5.1
Colton,3/01/2011,6.12E+11,Non-Alcoholic Beverages,Consumer Goods,Food and Beverage,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,Iwate,Los Angeles Metro,1,1,10
New York,3/01/2011,6.13E+11,Transportation Services,Consumer Services,Travel and Leisure,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,First Round,Iwate,New York Metro,1,1,
New York,3/01/2011,1.11E+11,Travel Arrangement/Tourism,Consumer Services,Travel and Leisure,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,First Round,Iwate,New York Metro,1,1,0.56
Auburn,3/01/2011,6.13E+11,Retailers: Other,Consumer Services,Retailers,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,First Round,Iwate,Seattle Metro,1,1,
Brooklyn,3/01/2011,6.12E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Profitable,Later Stage,Iwate,New York Metro,1,1,
Edison,3/01/2011,76570755224,Health Media/Content,Consumer Services,Media and Content,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Profitable,Later Stage,Iwate,New York Metro,1,1,7.63
La Jolla,3/01/2011,6.12E+11,Email/Messaging,Consumer Services,Consumer Information Services,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,Second Round,Iwate,San Diego Metro,1,1,1.2
West Lebanon,3/01/2011,3.57E+11,Renewable Energy: Other,Energy and Utilities,Renewable Energy,"Manchester-Nashua, NH",New England,Product Development,Second Round,Iwate,,1,1,20
Menlo Park,3/01/2011,6.12E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,Iwate,San Francisco Bay Area,1,1,8.25
Menlo Park,3/01/2011,6.14E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,Iwate,San Francisco Bay Area,1,1,12.1
Fremont,3/01/2011,6.12E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,Iwate,San Francisco Bay Area,1,1,13.6
Princeton,3/01/2011,87927758040,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Trenton-Ewing, NJ",Mid-Atlantic,Clinical Trials - Phase 2,Later Stage,Iwate,New York Metro,1,1,15
Wyomissing,3/01/2011,1.13E+11,Medical Supplies,Healthcare,Medical Devices and Equipment,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,,1,1,1.29
Boulder,3/01/2011,89683758208,Pharmaceuticals,Healthcare,Biopharmaceuticals,"Boulder, CO",Mountain,Generating Revenue,Later Stage,Iwate,,1,1,3.3
Sunnyvale,3/01/2011,1.01E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,Iwate,San Francisco Bay Area,1,1,10.18
San Diego,3/01/2011,72497753443,Basic Chemicals,Industrial Goods and Materials,Materials and Chemicals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,Later Stage,Iwate,San Diego Metro,1,1,45
Scranton,3/01/2011,86605757485,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"Scranton--Wilkes-Barre, PA",Mid-Atlantic,Generating Revenue,Second Round,Iwate,,1,1,0.5
Cupertino,3/01/2011,6.13E+11,Network/Systems Management Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,First Round,Iwate,San Francisco Bay Area,1,1,9.2
New York,3/01/2011,1.83E+11,Communications Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,New York Metro,1,1,16.5
New York,3/01/2011,6.12E+11,Communications Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Seed Round,Iwate,New York Metro,1,1,1.8
Glen Allen,3/02/2011,96609755003,Search Portals,Consumer Services,Consumer Information Services,"Richmond, VA",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,,1,1,27
Langhorne,3/02/2011,1.06E+11,Pharmaceuticals,Healthcare,Biopharmaceuticals,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,,1,1,0.75
Newark,3/02/2011,6.05E+11,Power Supplies,Information Technology,Electronics and Computer Hardware,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,First Round,Iwate,San Francisco Bay Area,1,1,8.5
Madison,3/02/2011,55060754622,Fiberoptic Equipment,Information Technology,Communications and Networking,"Madison, WI",Midwest East,Generating Revenue,Later Stage,Iwate,,1,1,
Bellevue,3/03/2011,6.12E+11,IT Consulting,Business and Financial Services,Business Support Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,First Round,Iwate,Seattle Metro,1,1,8.5
Centennial,3/03/2011,6.06E+11,Lending,Business and Financial Services,Financial Institutions and Services,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,Second Round,Iwate,,1,1,2.3
New York,3/03/2011,6.12E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,Seed Round,Iwate,New York Metro,1,1,1
Orem,3/03/2011,6.13E+11,Commercial Vehicles,Consumer Goods,Vehicles and Parts,"Provo-Orem, UT",Mountain,Product Development,First Round,Iwate,,1,1,5.53
Boulder,3/03/2011,6.12E+11,Consumer Information Services: Other,Consumer Services,Consumer Information Services,"Boulder, CO",Mountain,Generating Revenue,First Round,Iwate,,1,1,1.27
Redwood City,3/03/2011,71162754773,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,
Sunnyvale,3/03/2011,76787755226,Solar Energy,Energy and Utilities,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Restart,Iwate,San Francisco Bay Area,1,1,2.97
Addison,3/03/2011,6.10E+11,Oil/Gas Exploration and Production,Energy and Utilities,Non-Renewable Energy,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,Second Round,Iwate,Dallas-Fort Worth,1,1,0.27
Menlo Park,3/03/2011,1.14E+11,Basic Chemicals,Industrial Goods and Materials,Materials and Chemicals,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,Iwate,San Francisco Bay Area,1,1,25
Norwalk,3/03/2011,6.12E+11,Recreational/Home Software,Information Technology,Software,"Bridgeport-Stamford-Norwalk, CT",Mid-Atlantic,Generating Revenue,First Round,Iwate,New York Metro,1,1,3.5
Santa Monica,3/03/2011,78891757757,Multimedia/Streaming Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,Iwate,Los Angeles Metro,1,1,10.01
Pittsburgh,3/03/2011,3.59E+11,Vertical Market Applications Software,Information Technology,Software,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,Second Round,Iwate,,1,1,1.2
Bellevue,3/04/2011,3.56E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Later Stage,Iwate,Seattle Metro,1,1,3.5
Scotts Valley,3/04/2011,1.83E+11,Recreational/Sports Vehicles,Consumer Goods,Vehicles and Parts,"Santa Cruz-Watsonville, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,10.5
New York,3/04/2011,3.55E+11,Educational/Training Media and Services,Consumer Services,Media and Content,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Later Stage,Iwate,New York Metro,1,1,32.5
San Francisco,3/04/2011,1.04E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,2.3
Plymouth,3/04/2011,81529755743,Pharmaceuticals,Healthcare,Biopharmaceuticals,"Detroit-Warren-Livonia, MI",Midwest East,Pre-Clinical Trials,Corporate,Iwate,,1,1,12
San Francisco,3/04/2011,6.12E+11,Pharmaceuticals,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,Iwate,San Francisco Bay Area,1,1,11
Redwood City,3/04/2011,84951755225,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Later Stage,Iwate,San Francisco Bay Area,1,1,18.76
San Jose,3/04/2011,77433754980,Integrated Circuit Production,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,15
Cambridge,3/05/2011,72452758305,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Phase 2,Restart,Iwate,Boston Metro,1,1,37.5
San Francisco,3/07/2011,3.59E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,6.9
Saint Paul,3/07/2011,1.14E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Pre-Clinical Trials,Later Stage,Iwate,,1,1,11.5
Saint Paul,3/07/2011,1.14E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Pre-Clinical Trials,Unclassified,Iwate,,1,1,1.1
Reston,3/07/2011,6.12E+11,Business Applications Software,Information Technology,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,First Round,Iwate,Potomac,1,1,1.1
Santa Clara,3/07/2011,94276754863,Communications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,11.2
Atlanta,3/07/2011,3.57E+11,Wireless Telecommunications Service Providers,Information Technology,Communications and Networking,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,Second Round,Iwate,,1,1,1.5
Bellevue,3/08/2011,1.03E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Later Stage,Iwate,Seattle Metro,1,1,6.23
Boca Raton,3/08/2011,68047754916,Lending,Business and Financial Services,Financial Institutions and Services,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Generating Revenue,Restart,Iwate,,1,1,
Chicago,3/08/2011,6.12E+11,Financial Institutions and Services: Other,Business and Financial Services,Financial Institutions and Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Startup,Seed Round,Iwate,Chicago Metro,1,1,1
New York,3/08/2011,6.06E+11,Entertainment,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Corporate,Iwate,New York Metro,1,1,77
Baltimore,3/08/2011,1.12E+11,Entertainment,Consumer Services,Consumer Information Services,"Baltimore-Towson, MD",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,Potomac,1,1,30
Worcester,3/08/2011,6.12E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Worcester, MA",New England,Generating Revenue,First Round,Iwate,,1,1,
Philadelphia,3/08/2011,75620755342,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Product Development,Later Stage,Iwate,,1,1,1.01
Littleton,3/08/2011,98068755341,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,Iwate,Boston Metro,1,1,11.5
Hollywood,3/08/2011,6.12E+11,Wired Telecommunications Service Providers,Information Technology,Communications and Networking,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,First Round,Iwate,Los Angeles Metro,1,1,
Los Gatos,3/08/2011,1.14E+11,Business Applications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,10.6
Boston,3/08/2011,3.57E+11,Communications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,Iwate,Boston Metro,1,1,9.5
Deerfield,3/09/2011,6.13E+11,Human Resources/Recruitment,Business and Financial Services,Business Support Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Profitable,First Round,Iwate,Chicago Metro,1,1,15
Boston,3/09/2011,6.10E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,Iwate,Boston Metro,1,1,8.3
Cambridge,3/09/2011,75221754862,Advertising/Marketing,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Iwate,Boston Metro,1,1,32
San Francisco,3/09/2011,1.05E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,12
New York,3/09/2011,93228752705,Accounting,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Profitable,Restart,Iwate,New York Metro,1,1,23.02
Long Island City,3/09/2011,71704755510,Food/Drug Retailers,Consumer Services,Retailers,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,Iwate,New York Metro,1,1,50
New York,3/09/2011,6.06E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,Iwate,New York Metro,1,1,12.27
San Diego,3/09/2011,94417754888,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,Corporate,Iwate,San Diego Metro,1,1,
Santa Clara,3/09/2011,1.83E+11,Solar Energy,Energy and Utilities,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,Iwate,San Francisco Bay Area,1,1,72
Waltham,3/09/2011,3.58E+11,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,Iwate,Boston Metro,1,1,57.7
Nashville,3/09/2011,3.56E+11,Elder Care,Healthcare,Healthcare Services,"Nashville-Davidson-Murfreesboro, TN",South East,Product Development,First Round,Iwate,,1,1,3
Worcester,3/09/2011,1.03E+11,Medical Lab Instruments/Test Kits,Healthcare,Medical Devices and Equipment,"Worcester, MA",New England,Generating Revenue,Later Stage,Iwate,,1,1,1.7
Fremont,3/09/2011,89327758359,Computer Systems,Information Technology,Electronics and Computer Hardware,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,1
Morrisville,3/09/2011,88465755377,Wired Communications Equipment,Information Technology,Communications and Networking,"Raleigh-Cary, NC",South East,Generating Revenue,Later Stage,Iwate,,1,1,43.95
Sunnyvale,3/09/2011,6.12E+11,Vertical Market Applications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product In Beta Test,Second Round,Iwate,San Francisco Bay Area,1,1,6.15
Austin,3/09/2011,6.08E+11,Recreational/Home Software,Information Technology,Software,"Austin-Round Rock, TX",South Central,Generating Revenue,Second Round,Iwate,Austin Metro,1,1,6.13
San Francisco,3/10/2011,1.13E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Iwate,San Francisco Bay Area,1,1,21
New York,3/10/2011,6.12E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,Iwate,New York Metro,1,1,18.5
Chicago,3/10/2011,1.06E+11,Search Portals,Consumer Services,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Later Stage,Iwate,Chicago Metro,1,1,20
San Francisco,3/10/2011,6.12E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Seed Round,Iwate,San Francisco Bay Area,1,1,0.5
Hillsborough,3/10/2011,3.55E+11,Solar Energy,Energy and Utilities,Renewable Energy,"Durham-Chapel Hill, NC",South East,Generating Revenue,Second Round,Iwate,,1,1,3.48
San Mateo,3/10/2011,6.13E+11,Medical Software and Information Services: Other,Healthcare,Medical Software and Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Product In Beta Test,First Round,Iwate,San Francisco Bay Area,1,1,10.8
Durham,3/10/2011,6.12E+11,Diagnostic Equipment (Not Imaging),Healthcare,Medical Devices and Equipment,"Durham-Chapel Hill, NC",South East,Product Development,Second Round,Iwate,,1,1,11.31
Palo Alto,3/10/2011,6.14E+11,Biopharmaceuticals: Other,Healthcare,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Seed Round,Iwate,San Francisco Bay Area,1,1,0.86
San Francisco,3/10/2011,6.12E+11,Educational/Training Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,Iwate,San Francisco Bay Area,1,1,1.2
La Jolla,3/10/2011,6.12E+11,Network/Systems Management Software,Information Technology,Software,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,First Round,Iwate,San Diego Metro,1,1,3
New Canaan,3/10/2011,6.07E+11,Business Applications Software,Information Technology,Software,"Bridgeport-Stamford-Norwalk, CT",Mid-Atlantic,Generating Revenue,Second Round,Iwate,New York Metro,1,1,1
Minneapolis,3/11/2011,4.71E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Product In Beta Test,Second Round,Iwate,,1,1,10
Portland,3/11/2011,63747755631,IT Consulting,Business and Financial Services,Business Support Services,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Product Development,Second Round,Iwate,,1,1,3.71
San Francisco,3/11/2011,2.30E+11,Search Portals,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,1
San Francisco,3/11/2011,6.13E+11,Consumer Information Services: Other,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,Iwate,San Francisco Bay Area,1,1,
Cambridge,3/11/2011,1.13E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Corporate,Iwate,Boston Metro,1,1,6
San Francisco,3/11/2011,6.13E+11,Diagnostic Equipment (Not Imaging),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,9
Atlanta,3/11/2011,6.13E+11,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,First Round,Iwate,,1,1,3.25
Haddonfield,3/11/2011,55981755572,Surgical Devices,Healthcare,Medical Devices and Equipment,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Product Development,Second Round,Iwate,,1,1,7
Miami,3/11/2011,6.13E+11,Business Applications Software,Information Technology,Software,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Generating Revenue,First Round,Iwate,,1,1,0.6
Wilmington,3/11/2011,95176755449,Computer Peripherals,Information Technology,Electronics and Computer Hardware,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Iwate,Boston Metro,1,1,4.1
Waltham,3/11/2011,68672755629,Consumer Electronics,Information Technology,Electronics and Computer Hardware,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,Iwate,Boston Metro,1,1,1.4
Bellevue,3/11/2011,1.11E+11,Design Automation Software,Information Technology,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Later Stage,Iwate,Seattle Metro,1,1,6.9
Youngstown,3/12/2011,6.13E+11,Data Management Services,Business and Financial Services,Business Support Services,"Cleveland-Elyria-Mentor, OH",Midwest East,Startup,Seed Round,Iwate,,1,1,0.19
Norcross,3/13/2011,98508757970,Solar Energy,Energy and Utilities,Renewable Energy,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,Later Stage,Iwate,,1,1,94.35
Cambridge,3/14/2011,6.12E+11,General Business Consulting,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,Iwate,Boston Metro,1,1,2
Cambridge,3/14/2011,55973755171,Personal Care Products,Consumer Goods,Personal Goods,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,Iwate,Boston Metro,1,1,16
